Tahun,Bulan,USD,JPY,GBP,CHF,SGD,MYR,HKD,AUD,CAD
2026,Februari,"16,758","10,739","22,701","21,713","13,270","4,311","2,142","11,937","12,267"
2026,Januari,"16,786","10,949","23,218","21,898","13,291","4,270","2,151","11,867","12,409"
2025,Desember,"16,782","10,759","22,666","21,274","13,069","4,144","2,157","11,255","12,264"
2025,November,"16,644","10,661","22,035","20,682","12,834","4,029","2,140","10,872","11,859"
2025,Oktober,"16,640","10,847","21,961","20,835","12,814","3,963","2,142","10,950","11,937"
2025,September,"16,680","11,226","22,428","20,961","12,934","3,960","2,144","10,957","11,984"
2025,Agustus,"16,356","11,113","22,079","20,413","12,728","3,871","2,098","10,656","11,871"
2025,Juli,"16,387","11,067","21,894","20,360","12,726","3,866","2,088","10,655","11,902"
2025,Juni,"16,233","11,268","22,298","20,257","12,748","3,844","2,068","10,606","11,846"
2025,Mei,"16,255","11,308","21,985","19,703","12,626","3,837","2,074","10,480","11,808"
2025,April,"16,787","11,789","22,532","20,387","12,847","3,885","2,164","10,794","12,148"
2025,Maret,"16,588","11,030","21,417","18,771","12,406","3,745","2,134","10,481","11,640"
2025,Februari,"16,431","11,008","20,813","18,330","12,257","3,701","2,113","10,347","11,459"
2025,Januari,"16,259","10,524","20,246","17,939","12,046","3,701","2,087","10,117","11,276"
2024,Desember,"16,162","10,236","20,333","17,921","11,919","3,616","2,082","10,082","11,225"
2024,November,"15,864","10,453","20,068","17,945","11,806","3,567","2,039","10,283","11,310"
2024,Oktober,"15,732","10,260","20,465","18,137","11,878","3,587","2,025","10,319","11,303"
2024,September,"15,138","10,566","20,237","17,900","11,788","3,675","1,946","10,417","11,222"
2024,Agustus,"15,409","10,649","20,357","18,295","11,838","3,564","1,976","10,489","11,447"
2024,Juli,"16,320","10,540","20,972","18,411","12,144","3,533","2,089","10,692","11,785"
2024,Juni,"16,421","10,228","20,746","18,299","12,096","3,479","2,103","10,940","11,997"
2024,Mei,"16,253","10,353","20,656","17,860","12,023","3,453","2,079","10,742","11,847"
2024,April,"16,249","10,445","20,366","17,828","11,949","3,404","2,076","10,667","11,900"
2024,Maret,"15,853","10,451","20,022","17,508","11,766","3,351","2,026","10,346","11,660"
2024,Februari,"15,673","10,396","19,840","17,790","11,647","3,291","2,003","10,200","11,563"
2024,Januari,"15,796","10,723","20,057","18,346","11,796","3,341","2,021","10,447","11,782"
2023,Desember,"15,416","10,955","19,760","18,374","11,712","3,342","1,973","10,565","11,689"
2023,November,"15,384","10,442","19,542","17,529","11,554","3,306","1,973","10,202","11,342"
2023,Oktober,"15,916","10,645","19,254","17,608","11,636","3,341","2,035","10,116","11,485"
2023,September,"15,526","10,420","18,861","16,942","11,334","3,300","1,985","9,906","11,484"
2023,Agustus,"15,239","10,410","19,256","17,316","11,265","3,281","1,942","9,852","11,238"
2023,Juli,"15,083","10,791","19,273","17,270","11,307","3,311","1,934","9,990","11,386"
2023,Juni,"15,026","10,492","19,142","16,787","11,102","3,213","1,919","10,030","11,422"
2023,Mei,"14,969","10,673","18,499","16,513","11,053","3,245","1,911","9,781","11,020"
2023,April,"14,751","11,024","18,380","16,533","11,046","3,307","1,879","9,765","10,818"
2023,Maret,"15,062","11,371","18,603","16,422","11,342","3,407","1,919","10,108","11,124"
2023,Februari,"15,274","11,224","18,275","16,227","11,315","3,411","1,947","10,266","11,235"
