Tahun, Pagu Pendidikan, APBN,% Pagu
2005," Rp 25,988,000,000,000 "," Rp 266,220,000,000,000 ",9.76%
2006," Rp 43,287,000,000,000 "," Rp 427,598,000,000,000 ",10.12%
2007," Rp 54,067,000,000,000 "," Rp 504,776,000,000,000 ",10.71%
2008," Rp 64,029,000,000,000 "," Rp 573,431,000,000,000 ",11.17%
2009," Rp 89,918,000,000,000 "," Rp 716,376,000,000,000 ",12.55%
2010," Rp 84,086,000,000,000 "," Rp 725,243,000,000,000 ",11.59%
2011," Rp 91,483,000,000,000 "," Rp 836,578,000,000,000 ",10.94%
2012," Rp 103,667,000,000,000 "," Rp 964,997,000,000,000 ",10.74%
2013," Rp 118,467,000,000,000 "," Rp 1,154,381,000,000,000 ",10.26%
2014," Rp 131,314,000,000,000 "," Rp 1,249,943,000,000,000 ",10.51%
2015," Rp 146,393,000,000,000 "," Rp 1,392,442,000,000,000 ",10.51%
2016," Rp 150,900,000,000,000 "," Rp 1,325,551,000,000,000 ",11.38%
2017," Rp 143,134,000,000,000 "," Rp 1,315,526,000,000,000 ",10.88%
2018," Rp 147,562,000,000,000 "," Rp 1,454,494,000,000,000 ",10.15%
2019," Rp 152,690,000,000,000 "," Rp 1,634,340,000,000,000 ",9.34%
2020," Rp 156,894,400,000,000 "," Rp 1,683,477,200,000,000 ",9.32%
2021," Rp 175,236,500,000,000 "," Rp 1,954,548,500,000,000 ",8.97%
2022," Rp 169,230,400,000,000 "," Rp 1,944,542,300,000,000 ",8.70%
2023," Rp 230,728,400,000,000 "," Rp 2,230,025,100,000,000 ",10.35%
2024," Rp 225,072,800,000,000 "," Rp 2,467,527,500,000,000 ",9.12%
2025," Rp 309,542,400,000,000 "," Rp 2,663,444,500,000,000 ",11.62%
