Tahun,Pagu Pendidikan,APBN,% Pagu
2005,25988000000000,266220000000000,0.0976
2006,43287000000000,427598000000000,0.1012
2007,54067000000000,504776000000000,0.1071
2008,64029000000000,573431000000000,0.1117
2009,89918000000000,716376000000000,0.1255
2010,84086000000000,725243000000000,0.1159
2011,91483000000000,836578000000000,0.1094
2012,103667000000000,964997000000000,0.1074
2013,118467000000000,1154381000000000,0.1026
2014,131314000000000,1249943000000000,0.1051
2015,146393000000000,1392442000000000,0.1051
2016,150900000000000,1325551000000000,0.1138
2017,143134000000000,1315526000000000,0.1088
2018,147562000000000,1454494000000000,0.1015
2019,152690000000000,1634340000000000,0.0934
2020,156894400000000,1683477200000000,0.0932
2021,175236500000000,1954548500000000,0.0897
2022,169230400000000,1944542300000000,0.087
2023,230728400000000,2230025100000000,0.1035
2024,225072800000000,2467527500000000,0.0912
2025,309542400000000,2663444500000000,0.1162
