Kode_Dokumen,Judul,Penulis,Tahun_Terbit,Nama_Jurnal_Prosiding,Volume_Halaman,DOI,Bahasa,Basis_Data_Sumber,Afiliasi_Penulis_Pertama,Negara_Afiliasi,Asal_Peneliti,Kolaborasi,Total_Sitasi,Cite_per_Year,Author_Keywords,Index_Keywords,Tema_Utama,Subfield,Teori_Kerangka,Metode_Penelitian,Platform_yang_Dikaji,Kriteria_Inklusi,Alasan_Eksklusi,Referenced_Works,Abstrak
D001,Many Clicks but Little Sticks: Social Media Activism in Indonesia,"Lim, Merlyna",2013,Journal of Contemporary Asia,"43(4), 636–657",10.1080/00472336.2013.769386,Inggris,OpenAlex,Center for Inquiry,US,Internasional,Tunggal,488,37.5,Social media; Political science; Social activism; Advertising; Media studies; Sociology,Social media; Advertising; Media studies; Politics; Law,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W197767540;W638770514;W1479991102;W1495750374;W1562079112;W1562418206;W1604458886;W1605839877;W1969592371;W1988345431;W1996673766;W1999809038;W2000570984;W2007666237;W2029217231;W2035381879;W2103892047;W2108221308;W2109469951;W2112957339;W2117586946;W2139023605;W2175662714;W2414107142;W2496362726;W2496780524;W2499238131;W2548081207;W2762993067;W2949336056;W3149127222;W3153389987;W4205694217;W4243384813;W4251826933;W4285719527;W4301822498,"Drawing on empirical cases from Indonesia, this article offers a critical approach to the promise of social media activism by analysing the complexity and dynamics of the relationship between social media and its users. Rather than viewing social media activism as the harbinger of social change or dismissing it as mere “slacktivism,” the article provides a more nuanced argument by identifying the conditions under which participation in social media might lead to successful political activism. In social media, networks are vast, content is overly abundant, attention spans are short, and conversations are parsed into diminutive sentences. For social media activism to be translated into populist political activism, it needs to embrace the principles of the contemporary culture of consumption: light package, headline appetite and trailer vision. Social media activism is more likely to successfully mobilise mass support when its narratives are simple, associated with low risk actions and congruent with dominant meta-narratives, such as nationalism and religiosity. Success is less likely when the narrative is contested by dominant competing narratives generated in mainstream media."
D002,"Budaya Media Sosial, Edukasi Masyarakat, dan Pandemi COVID-19","Sampurno, Muchammad Bayu Tejo; Kusumandyoko, Tri Cahyo; Islam, Muh Ariffudin",2020,SALAM Jurnal Sosial dan Budaya Syar i,7(5),10.15408/sjsbs.v7i5.15210,Inggris,OpenAlex,Universitas Gadjah Mada,ID,Lokal,Lokal,222,37.0,Social media; Coronavirus disease 2019 (COVID-19); Political science; Public relations; Public health; Mass media,Social media; Public relations; Public health; Mass media; Social marketing; Media studies; Nursing; Law; Disease; Pathology,Aktivisme kesehatan / pandemi,Komunikasi kesehatan digital,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W95644840;W312651711;W433615924;W1481103943;W1902111837;W1980964740;W1986181309;W2024230604;W2041841454;W2063455745;W2070597718;W2141736630;W2146579244;W2398337256;W2400590236;W2470561560;W2887864512;W2963451259;W3006334195;W3010197775;W3013879615;W3013996241;W3090929254;W3110902951;W3169295270;W3187499990;W3205093331;W4230354434;W4231379273;W4247920842;W4300858789;W6666457599;W6678529844;W6713139096;W6747235642;W6774478807;W6784148490;W6837419507;W7024000561;W7053406399;W7056523159;W7070994522,"AbstractThis study wants to explore the public education of COVID-19 through the social and cultural media in it. Furthermore, this research also identifies how the media affect the community and by involving mass media communication in strategies to raise awareness about COVID-19 prevention and prevention efforts. This study uses a qualitative method by utilizing a virtual ethnographic approach that refers to the ethnographic research approach conducted in online settings about the internet and social media. The results show that (1) social media culture in Indonesia can act as a teacher who can educate the public and stimulate in the latest research related to COVID-19; (2) as education for public health services; (3) directing people to their websites and landing pages for information on the latest and most trusted COVID-19; (4) marketing innovative services such as health care social funding services; (5) posts related to case information, photos, and results (with permission) relating to COVID-19 to educate the public; (6) sharing reviews and testimonies of patients who recover as motivation and initial prevention efforts; and (7) providing support among Indonesian citizens in the face of the COVID-19 pandemic.Keywords: Social Media Culture, Public Education, Covid-19 Pandemic AbstrakPenelitian ini ingin mengeksplorasi tentang edukasi masyarakat terhadap COVID-19 melalui media sosial dan budaya yang ada di dalamnya. Lebih lanjut, penelitian ini turut mengidentifikasi bagaimana media mempengaruhi masyarakat dan dengan melibatkan komunikasi media massa dalam strategi untuk meningkatkan kesadaran tentang usaha penanganan dan pencegahan COVID-19. Penelitian ini menggunakan metode kualitatif dengan memanfaatkan pendekatan virtual etnografi yang mengacu pada pendekatan penelitian etnografi yang dilakukan dalam pengaturan online tentang internet dan media sosial. Hasil penelitian menunjukkan bahwa (1) budaya media sosial di Indonesia dapat bertindak sebagai guru yang mampu mengedukasi masyarakat dan menstimulasi dalam penelitian terbaru terkait COVID-19; (2) sebagai pendidikan layanan kesehatan masyarakat; (3) mengarahkan masyarakat ke situs web dan halaman arahan mereka untuk informasi terkait COVID-19 terbaru dan terpercaya; (4) memasarkan layanan inovatif seperti layanan dana sosial perawatan kesehatan; (5) posting terkait informasi kasus, foto, dan hasil (dengan izin) yang berkaitan dengan COVID-19 untuk mengedukasi masyarakat; (6) berbagi ulasan dan testimoni pasien yang sembuh sebagai motivasi dan upaya awal pencegahan; dan (7) memberikan dukungan antar warga negara Indonesia dalam menghadapi pandemi COVID-19.Kata kunci: Budaya Media Sosial, Edukasi Masyarakat, Pandemi Covid-19"
D003,Usage of social media during the pandemic: Seeking support and awareness about COVID-19 through social media platforms,"Saud, Muhammad; Mashud, Mustain; Ida, Rachmah",2020,Journal of Public Affairs,e02417–e02417,10.1002/pa.2417,Inggris,OpenAlex,Airlangga University,ID,Lokal,Lokal,206,34.3,Social media; Pandemic; Social distance; Internet privacy; Public relations; Social network (sociolinguistics),Social media; Internet privacy; Public relations; Information sharing; Information Dissemination; World Wide Web; Pathology; Disease,Aktivisme kesehatan / pandemi,Komunikasi kesehatan digital,Network Theory / Actor-Network Theory,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W2067353071;W2230617579;W2588271766;W2620040837;W2624136507;W2777893501;W2789564306;W2799899857;W2886192981;W2899151019;W2907078027;W2943248759;W2949891063;W3001195213;W3001465255;W3006533361;W3007314898;W3008443627;W3010571899;W3010831650;W3012704879;W3012804303;W3012844399;W3014719091;W3014807714;W3015412612;W3016902371;W3017027582;W3020377681;W3028371822;W3173643181;W4213385474;W6778421675,"Social media have become popularly use to seek for medical information and have fascinated the general public to collect information regarding corona virus pandemics in various perspectives. During these days, people are forced to stay at home and the social media have connected and supported awareness and pandemic updates. The present study aims at highlighting the present situation of Indonesian society, where the outbreak position is quite high. The study collects the data from social media users from March and April 2020. The data were also compiled from the secondary sources, like opinions, the literature and scientific articles from reputable journals. The total number of 348 responses were collected from respondents through random sampling technique, and the majority respondents show positive attitudes toward using social media as medical information instruments. The results demonstrate that social media have been used to seek social supports from the respondents' online networks and offline friends, relatives, and colleagues. The study also examines that the usage of social media platforms is perceived as easy and accessible to every individual for sharing, posting, and reacting to any medical information regarding the pandemic. Since people continue work from home, and ensuring the social distance, so, the majority of users have seen family and friends have provided support and attempt to raise awareness by sharing and circulating a range of information within their closed-social network."
D004,From content moderation to <i>visibility moderation</i>: A case study of platform governance on TikTok,"Zeng, Jing; Kaye, D. Bondy Valdovinos",2022,Policy & Internet,"14(1), 79–95",10.1002/poi3.287,Inggris,OpenAlex,University of Zurich,CH,Internasional,Internasional,157,39.2,Popularity; Moderation; Visibility; Negotiation; Scrutiny; Corporate governance,Popularity; Moderation; Visibility; Negotiation; Scrutiny; Corporate governance; Digital content; Internet privacy; World Wide Web; Public relations; Law; Optics; Machine learning; Finance,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Analisis komputasional / big data,TikTok,Dimasukkan,,W1792150330;W2098395374;W2099711997;W2109741756;W2115893922;W2136686335;W2215231893;W2301953046;W2340696859;W2475162543;W2730390070;W2760103715;W2762633747;W2800596622;W2806347998;W2898128071;W2905002332;W2906151105;W2911280170;W2914724568;W2916721815;W2925538271;W2948056181;W2951551356;W2951921575;W2974834077;W2983361284;W2989364584;W2998490812;W3001387946;W3008694996;W3017863658;W3023398882;W3025177053;W3028744181;W3041336306;W3042073523;W3042215501;W3081389081;W3094216994;W3099917429;W3109493969;W3113786846;W3123415290;W3124975893;W3126646735;W3154698811;W3162765547;W3191485541;W3191992004;W3202630812;W3210971126;W4206738898;W4235399965;W4236004739;W4249673087;W4365388135;W4413563867,"Abstract TikTok, a short‐video app featuring video content typically between 15 and 60 s long, has become immensely popular around the world in the last few years. However, the worldwide popularity of TikTok requires the platform to constantly negotiate with the rules, norms and regulatory frameworks of the regions where it operates. Failure to do so has had significant consequences. For example, for content‐related reasons, the platform has been (temporarily and permanently) banned in several countries, including India, Indonesia and Pakistan. Moreover, its Chinese ownership and popularity among underage users have made the platform subject to heightened scrutiny and criticism. In this paper, we introduce the notion of visibility moderation, defined as the process through which digital platforms manipulate the reach of user‐generated content through algorithmic or regulatory means. We discuss particular measures TikTok implements to shape visibility and issues arising from it. This paper presents findings from interviews with content creators, which takes a user‐centric approach to understand their sense‐making of and negotiation with TikTok's visibility moderation. Findings from this study also highlight concerns that leave these stakeholders feeling confused, frustrated or powerless, which offer important directions for further research."
D005,Digital Literacy Through Digital Citizenship: Online Civic Participation and Public Opinion Evaluation of Youth Minorities in Southeast Asia,"Yue, Audrey; Nekmat, Elmie; Beta, Annisa R.",2019,Media and Communication,"7(2), 100–114",10.17645/mac.v7i2.1899,Inggris,OpenAlex,National University of Singapore,SG,Internasional,Internasional,84,12.0,Citizenship; Digital media; Sociology; Scholarship; New media; Ethnography,Digital media; Scholarship; New media; Ethnography; Social media; Gender studies; Media studies; Public relations; Social science; Politics; Law; Anthropology,Aktivisme gender / feminisme digital,Kajian gender & komunikasi,"Teori Partisipasi Politik Digital (Theocharis & van Deth, 2016)",Etnografi / netnografi,WhatsApp/Telegram/Line,Dimasukkan,,W646918812;W745492657;W1592045112;W1670012429;W1799750435;W1853760102;W1868511033;W1916817627;W1968619893;W1987808422;W1995688748;W2001104120;W2019287449;W2034796958;W2034804400;W2035381879;W2037384040;W2047220045;W2051792797;W2054838416;W2089176229;W2097150047;W2099668057;W2100277498;W2119113893;W2122312775;W2136110742;W2146763150;W2147329770;W2148813911;W2150375325;W2154972959;W2164558494;W2168637053;W2188964801;W2192218537;W2198609989;W2253738552;W2312204114;W2332461523;W2514254993;W2625512172;W2729618924;W2773107131;W2782625861;W2884397397;W2904005656;W2941663201;W2946812905;W2969508456;W3090197421;W3165309918;W4246920349;W4255182033;W4299838860;W4376453990;W6617220953;W6618013477;W6638380345;W6639050826;W6639960984;W6659381567;W6659637679;W6662159618;W6664448826;W6737124039;W6988105382;W7009724560;W7033091360;W7036352032;W7074000709,"The field of critical digital literacy studies has burgeoned in recent years as a result of the increased cultural consumption of digital media as well as the turn to the production of digital media forms. This article extends extant digital literacy studies by focusing on its subfield of digital citizenship. Proposing that digital citizenship is not another dimension or axis of citizenship, but a practice through which civic activities in the various dimensions of citizenship are conducted, this article critically considers how the concept of digital citizenship can furnish further insight into the quality of online civic participation that results in claims to and acts of citizenship. Through interdisciplinary scholarship, drawing from critical media and cultural theory, and media psychology, and deriving new empirical data from qualitative digital ethnography and quantitative focus group and survey studies, it presents original case studies with young people in Southeast Asia, including young Muslim women’s groups in Indonesia and youth public opinion on LGBTs in Singapore. It argues that Southeast Asian youth digital citizenship foregrounds civic participation as emergent acts that not only serve to make society a better place, but also enacts alternative publics that characterise new modes of civic-making in more conservative, collectivistic Southeast Asian societies."
D006,Systematic Review: Strategi Pemberdayaan Pelaku UMKM Menuju Ekonomi Digital Melalui Aksi Sosial,"Fuadi, Debi S.; Akhyadi, Ade Sadikin; Saripah, Iip",2021,Diklus Jurnal Pendidikan Luar Sekolah,"5(1), 1–13",10.21831/diklus.v5i1.37122,Indonesia,OpenAlex,Indonesia University of Education,ID,Lokal,Lokal,76,15.2,Political science; Humanities; Digital strategy; Business administration; Business; Sociology,Humanities; Business administration; Social media; Law,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Bibliometrika / tinjauan sistematis,Tidak spesifik / multi-platform,Dieksklusi,Relevansi dengan konteks Indonesia sangat lemah,W1543081908;W3107977511;W4247150588;W6632492143,"Abstrak: Seiring perubahan perilaku konsumen di era digital menjadi satu peluang bagi pelaku usaha kecil dan menengah (UMKM) dalam memperluas akses pasar serta menjadi tantangan beradaptasi. Penelitian ini bertujuan untuk menganalisis strategi pemberdayaan pelaku UMKM go digital melalui aksi sosial yaitu Volunter, Komunitas UMKM, Klinik ekonomi digital, Model Desa Cerdas dan Pahlawan ekonomi dengan melakukan pendampingan secara berkelanjutan serta berkolaborasi dengan berbagai pihak. Penelitian ini menggunakan pendekatan systematic review melalui beberapa tahapan yaitu identifikasi pertanyaan penelitiaan, menetapkan data base hasil penelitian, seleksi hasil penelitian yang relevan dan terindeks, ekstarsi data, sintasi hasil dengan metode naratif dan penyajian data. Dari hasil analisis peran komunitas sosial memberikan kontribusi serta solusi terhadap permasalahan yang dihadapi untuk menekan kesenjangan arus digitalisasi antara desa dan kota. Manfaat dari penelitian ini bisa dijadikan bahan referensi dalam merancang kurikulum pengembangan dan pemberdayaan pelaku UMKM dalam menuju digitalisasi. Systematic Review: Strategies for Empowering UMKM Subject Toward a Digital Economy through Social ActionAbstract: Along with changes in consumer behavior in the digital era, there is an opportunity for small and medium enterprises (UMKM) to expand market access and become a challenge to adapt. This study aims to analyze the strategy for empowering UMKM subject to go digital through social actions, namely Volunteers, UMKM Communities, Digital Economy Clinics, Smart Village Models and Economic Heroes by providing ongoing assistance and collaborating with various parties. This study uses a systematic review approach through several stages, namely identification of research questions, establishing a data base of research results, selecting relevant and indexed research results, data extraction, synthesis of results using narrative methods and data presentation. From the results of the analysis of the role of the social community in contributing and solutions to the problems faced in reducing the gap in the flow of digitalization between villages and cities. The benefits of this research can be used as reference material in designing a curriculum for developing and empowering UMKM subject towards digitalization."
D007,Indonesia’s Media Oligarchy and the “Jokowi Phenomenon”,"Tapsell, Ross",2015,Indonesia,"99(1), 29–50",10.1353/ind.2015.0004,Inggris,OpenAlex,Cambridge University Press,GB,Internasional,Tunggal,75,6.8,Oligarchy; Phenomenon; Political science; Epistemology; Philosophy; Law,Phenomenon; Epistemology; Law; Politics,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W24962087;W1542976082;W1559359386;W2971766513;W3097551285;W4229587902;W6645879001,"A key discussion among scholars of post-New Order Indonesian politics concerns the nature and influence of oligarchy. Two distinct strands now exist. The first, led by Richard Robison and Vedi Hadiz, and by Jeffrey Winters, argues that while an authoritarian government no longer controls power or sets the agenda, Indonesia's ""new era"" of democracy post-1998 is dominated by oligarchs,* 1 through ""the reorgan ization of the old predatory power relations within a new system"" by those who have ""interests in maintaining a system of arbitrary power.""2 While Robison and Hadiz state that the oligarchic thesis does not mean ""nothing has changed in Indonesia,"" they emphasize that ""many of the old faces continue to dominate politics and business, while new ones are drawn into the same predatory practices that had defined politics in Indonesia for decades.""3"
D008,What motivates digital activism? The case of the Save KPK movement in Indonesia,"Suwana, Fiona",2019,Information Communication & Society,"23(9), 1295–1310",10.1080/1369118x.2018.1563205,Inggris,OpenAlex,Queensland University of Technology,AU,Internasional,Tunggal,70,10.0,Indonesian; Institution; Political activism; Democracy; Politics; Misinformation,Indonesian; Institution; Politics; Misinformation; Digital media; Movement (music); Social media; Public relations; Law; Aesthetics; Linguistics,Aktivisme antikorupsi,Komunikasi politik,Teori Gerakan Sosial (Tarrow; McAdam; McCarthy),Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W127363646;W134658573;W201205998;W214280238;W389776589;W602440937;W611175801;W644791229;W1533701458;W1557087761;W1570174062;W1574324054;W1581668075;W1593262800;W1597095499;W1849209569;W1856228279;W1862219799;W1908981150;W1977037734;W1993772607;W2006292547;W2024564070;W2050033355;W2084709874;W2088246085;W2099147692;W2102067093;W2132812971;W2145876590;W2154490042;W2161277291;W2166826583;W2175662714;W2187532046;W2254580187;W2322004164;W2330575619;W2543069087;W2560234550;W2566778448;W2580720898;W2620020451;W2626054531;W2754845298;W2759840644;W2789589034;W2791618354;W2970785670;W4205325953;W4214532600;W4229731828;W4242555037;W4243801291;W4244167163;W4249207332;W4249521109;W4255278518;W4285719527;W4301822498;W4413626881,"Digital activism has enormous ability to amplify offline and online civic activism and political participation. In Indonesia, digital activism has successfully supported social and political change in recent years. Motivation is an important component of digital activism that can stimulate movements, and can be determined by access to and use of digital media. This article presents a case study of motivations and digital activism in an online political movement in Indonesia through interviews and focus group discussions with fifty-two (n = 52) Indonesian young people (activists and students) who were familiar with digital media and the Save KPK 2015 movement in Indonesia. It investigates the digital activism of the Save KPK movement and the strategies employed to support the movement. The case study offers a deeper understanding of the Save KPK movement (which aimed to support an institution dedicated to eradicating corruption in Indonesia) and provides insights into the motivations of activists who digitally supported the political movement. Its findings explore how internal factors such as experience and beliefs fundamentally influenced young Indonesians to participate in the Save KPK movement using digital media, indicating that intrinsic is an important factor in delivering credible information and participating in the movement. Delivering truthful information about the KPK institution through digital media was seen as vital to combat the distribution of misinformation, such as fake news or hoaxes, and reinforce the political participation that helps to sustain Indonesian democracy as well as that of other democratic countries."
D009,DEMOKRASI VIRTUAL DAN PERANG SIBER DI MEDIA SOSIAL: PERSPEKTIF NETIZEN INDONESIA,"Syahputra, Iswandi",2017,Jurnal ASPIKOM,"3(3), 457–457",10.24329/aspikom.v3i3.141,Indonesia,OpenAlex,Sunan Kalijaga State Islamic University Yogyakarta,ID,Lokal,Tunggal,65,7.2,Social media; Democracy; Polarization (electrochemistry); Media studies; Political science; Sociology,Social media; Polarization (electrochemistry); Media studies; Qualitative research; Public relations; Law; Social science; Politics; Physical chemistry,Digital activism (umum),Kajian internet & media,Tidak dinyatakan eksplisit / Campuran,Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W66927073;W590838723;W601397567;W1967219339;W2011244363;W2020192973;W2044037197;W2088246085;W2113583180;W2120296220;W2132812971;W2160778871;W2408963409;W2489670375;W2548081207;W2601088587;W2604388160;W2605749969;W2610979155;W2973219995;W3149114144;W6600737396;W6617693484;W6618159490;W6635744758;W6652743563;W6658747196;W6661043241;W6713606702;W6729582479,"Several hate speech which spread in social media activity aroused because of freedom of speech euphoria in a democratic nation. Those hate speech had effectively used as a negative campaign during election. This study aims to analyze hate speech and cyber war in social media. The method used is qualitative with data retrieval through in-depth interviews of netizens as opinion makers in social media, document studies and literature studies relevant to the research. The study found that cyber warfare in social media has formed two netizen polarizations. The polarization can be identified as conservative and liberal groups. Both groups are actively producing discourse, opinion, information, issues and rumors through social media. This study has implications for the change or shift of opinion leader concept on the theory of two step communication. The concept of opinion maker in the new media tradition that emerges today allows anyone anonymously to become opinion leaders."
D010,Aksi Bela Islam: islamic clicktivism and the new authority of religious propaganda in the millennial age in Indonesia,"Ahyar, Muzayyin; Alfitri, Alfitri",2019,Indonesian Journal of Islam and Muslim Societies,"9(1), 1–1",10.18326/ijims.v9i1.1-29,Inggris,OpenAlex,Institut Agama Islam Negeri Bengkulu,ID,Lokal,Lokal,61,8.7,Islam; Public sphere; Jargon; Politics; Media studies; Sociology,Islam; Jargon; Politics; Media studies; Law; Archaeology; Linguistics,Digital activism (umum),Kajian internet & media,Teori Ruang Publik (Habermas),Tidak dinyatakan eksplisit,Tidak spesifik / multi-platform,Dimasukkan,,W583158991;W2029425540;W2035675634;W2088246085;W2116339812;W2563793759;W2731703036;W2740055365;W2758626044;W2760101649;W2769102677;W2779611663;W4205996562;W4234041950;W4237891427;W4388265870;W6619769695;W6658052808;W6733570181;W6756441743;W6794349536;W7011728282;W7075353681,"The great Islamic mass rally which well known as “Aksi Bela Islam (Defending Islam action) 212” in Indonesia has always been claimed as the triumph of Islamic activism. This action continue to be voiced through social media such as Facebook, Twitter, Instagram, and so forth with the jargon “ 212 spirit “. The voluminous actions of “Aksi Bela Islam 212” sound like an authoritative propaganda jargon which are exhaled to spread the Islamic identity through the internet. Along with the proliferation of online Islamic activism, some major questions emerge about: (1) whether online religious discourse is an authoritative source that gives Muslim society an authority in religious propaganda; (2) to what extent the proliferation of online Islamic activism has shaped the new Islamic propaganda authority? The objective of this article is to examine the discourse of Islamic activism in the online public sphere which makes the internet and online social media as a new vehicle in the transformation of traditional-modern Islamic propaganda authority for technologically literate generation. The article highlights some transformations of traditional religious propaganda authority to the new one which appropriated with the technological advancement. Using political sociology approach, this article will maps an Islamic online activism, which is termed as Islamic clicktivism, and its relation to the religious propaganda authority. The finding of this article reveals that Islamic clicktivism can be an authoritative method in shaping religious and political discourses. Finally, this article argues that Islamic social movement in the millennial age – especially in the post 212 movement – has consistency to play a role in political contestation through the Islamic clicktivism. Gerakan aksi masal Islam yang dikenal dengan Aksi Bela Islam di Indonesia selalu diklaim sebagai kemenangan aktivisme Islam. Menyusul Aksi Bela Islam dalam ranah gerakan sosial, wacana serupa juga disuarakan melalui gerakan aktivisme secara daring yang disebarkan melalui berbagai media social seperti Facebook, Twitter dan Istagram dengan jargo “spirit 212”. Aksi berjilid-jilid dari Aksi Bela Islam ini terdengan seakan menjadi jargon propaganda otoritatif yang dihembuskan untuk menyebarkan identitas Islam melalui internet. Seiring dengan fenomena proliferasi gerakan-gerakan Islam daring tersebut, beberapa pertanyaan muncul: pertama, apakah diskursus keagamaan daring menjadi sumber otoritatif yang memberikan otoritas kepada masyarkat Muslim dalam hal propaganda agama? Kedua, sejauh mana proliferasi aktivisme Islam daring membentuk otoritas propaganda keagamaan baru? Sasaran dari artikel ini adalah menguji wacana aktivisme Islam di ruang public daring yang menjadikan internet dan media social daring sebagai kendaraan baru dalam transformasi otoritas propaganda keagamaan dari tradisional ke modern bagi kalangan melek milenial yang melek teknologi. Artikel ini menyoroti beberapa trasnformasi propaganda keagamaan tradisional menuju modern yang disesuaikan dengan perkembangan teknologi. Dengan menggunakan pendekatan sosiologi-politik, artikel ini memetakan aktivisme Islam daring, yang diistilahkan dengan Islamic clicktivism, dan hubungannnya dengan otoritas propaganda keagamaan. Temuan artikel ini menunjukkan bahwa kliktifisme Islam dapat menjadi metode otoritatif dalam membentuk wacana keagamaan dan politik sekaligus. Pada akhirnya artikel ini menegaskan bahwa gerakan social Islam di era milenial – khususnya pasca gerakan 212 –secara konsisten mengambil peran dalam kontestasi politik identitas dengan menggunakan kliktifisme Islam."
